track_id,genre
2,0
5,0
182,0
255,0
256,0
368,0
459,0
574,0
676,0
690,0
694,21
695,21
777,12
825,12
993,12
1039,53
1040,53
1087,12
1102,12
1270,25
1417,12
1427,12
1706,12
1720,58
1883,12
1891,12
1930,98
3492,12
3624,12
3720,53
3721,53
3722,53
3724,53
3725,53
3761,12
3762,12
3763,12
3765,12
3766,12
3833,12
3840,12
3950,12
4022,109
4108,12
4682,21
4684,21
4685,21
4688,21
4777,12
4778,12
4779,12
4780,12
4781,12
4782,12
4784,12
4785,12
4786,12
4787,12
4788,12
4799,12
4835,12
4836,12
4838,12
5006,25
5264,21
5268,21
6439,21
6440,21
6442,21
6443,21
6448,21
6517,12
6519,12
6603,21
6605,21
6606,21
6607,21
6608,21
6609,21
6610,21
6611,21
6776,101
6778,101
6788,12
7481,21
7482,21
7483,21
7487,21
7488,21
7489,21
7490,21
7491,21
7492,21
7495,89
7872,25
8056,85
8208,12
9491,64
9511,58
9513,36
9550,12
9553,12
9555,12
9557,12
9559,12
9560,12
9962,64
10192,100
10668,70
10669,70
10670,70
10671,70
10672,70
10673,70
10674,70
10675,70
10676,70
10677,70
10693,21
10694,21
10695,21
10696,21
10697,21
10698,21
10699,21
11204,21
11264,88
11268,89
11298,21
11299,21
11306,12
11763,21
11764,21
11765,21
11766,21
11767,21
11768,21
11769,21
11770,21
11771,21
11772,21
11773,21
11774,21
11775,21
11776,21
11777,21
11778,21
11779,21
11780,21
11781,21
11782,21
11783,21
11784,21
11785,21
11786,21
11787,21
11788,21
11789,21
11790,21
11791,21
11792,21
11793,21
11794,21
11795,21
11803,21
11818,21
11839,21
11861,21
11862,21
11867,21
11868,21
11916,21
11917,21
11918,21
11919,21
11920,21
11921,21
11922,21
11933,12
12173,21
12174,21
12394,21
12521,12
12526,21
12531,21
13199,21
13201,21
13325,12
13556,12
13561,21
13566,21
13591,21
13596,12
13666,12
13670,21
13735,21
13747,21
13748,21
13749,21
13767,21
13768,21
13804,100
14358,21
14363,21
14365,21
14386,21
14391,21
14538,21
14539,21
14541,21
14542,21
14653,66
14733,12
14734,12
14735,12
14736,12
14737,12
14738,12
14739,12
14740,12
14741,12
14742,12
14743,12
14744,12
14745,12
15210,21
16162,21
16354,12
16819,12
16820,12
16821,12
16822,12
16878,21
16879,21
16880,21
16994,27
16995,27
16997,27
17462,12
17491,21
17496,21
17499,21
17500,21
17735,167
17782,21
18197,58
18607,58
18611,58
18887,36
19179,440
19184,440
19187,440
19438,21
19439,21
19685,113
19729,21
20050,12
20469,21
21228,21
21859,66
21860,66
22088,21
22091,21
22093,12
22094,21
22295,21
22296,21
23037,12
23041,12
23172,12
24418,21
24420,21
24421,21
24422,21
24423,21
24424,21
24425,21
24426,21
24427,21
24428,21
24429,21
24430,21
24431,21
24432,21
26007,21
26008,21
26010,21
26011,21
26012,21
26013,21
26014,21
26016,21
26017,21
26020,21
26021,21
26022,21
26025,21
26026,21
26034,21
26035,21
26036,21
26638,58
26639,58
26640,58
26641,58
26642,58
26643,58
26674,98
26681,98
27799,21
28070,85
28072,85
28260,27
28266,12
28274,27
28692,64
29587,21
29602,21
29718,542
29719,542
29720,542
29721,542
29807,71
29813,71
29961,21
30041,21
30043,21
30050,21
30056,21
30058,21
30059,21
30230,21
31999,66
32001,66
32021,12
32075,12
32081,12
32686,542
32687,542
32689,542
32693,542
32694,542
32695,542
32755,21
32882,21
33020,27
33459,66
33460,66
33461,66
33465,66
33538,12
33992,111
34167,21
35527,12
35534,12
35535,12
35537,12
35539,12
35541,12
35543,12
35571,58
36302,21
36304,21
36481,66
36526,66
36983,21
36984,21
36985,21
36986,21
36987,21
36988,21
36990,21
36992,21
36994,21
36997,21
37147,31
37416,21
37417,21
37423,21
37592,109
37725,58
37727,58
37730,58
37731,58
37859,58
38435,58
38522,12
38557,404
39298,12
39359,12
40133,31
40134,31
40139,66
40141,66
40525,21
40541,100
40542,100
40903,12
40938,12
40940,12
40984,12
40985,66
40986,12
41095,66
41812,12
41961,58
41962,58
41965,58
42040,21
42044,12
42045,21
42046,21
42310,26
42442,98
42475,58
42761,58
42789,58
42844,25
42851,25
43844,21
43856,21
43857,21
43858,21
43859,21
43860,21
43861,21
43863,21
43865,21
43866,21
43867,21
43868,21
43869,21
43899,21
43911,21
44236,21
44917,58
44918,58
45055,26
45474,440
45475,440
46024,12
46078,100
46726,21
47032,25
47471,25
47510,27
47526,85
47916,66
47921,66
48015,66
48367,31
48368,31
48369,31
48763,36
48990,12
48999,359
49441,89
49476,21
49478,21
49479,21
49812,25
49817,25
50264,811
50444,12
50445,12
50446,12
50447,12
50448,12
50449,12
50539,53
50543,53
50752,31
50753,31
50754,31
52522,66
52579,21
53379,100
53381,100
53807,25
54163,25
54365,21
54376,21
54621,31
54623,31
54624,31
54625,31
54626,31
54735,25
54753,21
54942,167
55097,811
55100,811
55101,811
55102,811
55113,21
55119,811
55120,811
55121,811
55122,811
55123,539
55124,811
55402,26
55549,21
55572,21
55709,26
55710,26
55711,26
55712,26
55713,26
55714,26
55715,26
55716,26
55717,26
55718,26
55719,26
55900,21
56493,21
56495,21
56496,21
56497,21
56498,21
56499,21
56552,53
56559,53
56639,21
56640,21
56641,21
56645,404
56646,404
56648,404
56649,404
56650,404
56651,404
56929,25
57500,25
57569,12
57658,66
57661,66
57662,66
57663,66
57819,811
57820,811
57821,811
57822,811
57823,811
57891,27
57892,27
57968,25
58207,21
58212,21
58213,21
58215,21
58221,12
58225,27
58333,31
58334,31
58539,12
58540,12
58541,12
58542,12
58543,12
59078,27
59373,25
59374,25
59561,25
59562,25
59876,12
60472,21
60474,21
60476,21
60477,21
60478,21
60510,21
60736,25
61159,21
61160,21
61161,21
61172,21
61174,21
61175,21
61452,21
61453,21
61491,66
61492,66
61493,66
61668,21
61814,98
61820,98
61821,98
61884,21
62001,21
62337,12
62445,111
62458,66
62586,12
62655,25
63043,66
63044,66
63045,66
63117,25
63191,12
63470,31
63471,31
63472,31
63733,21
63747,21
63755,21
63757,21
63770,21
63789,21
63803,21
63804,21
63805,21
63874,21
63900,21
63908,21
63922,58
64035,66
64338,21
64515,21
64516,21
64517,21
64519,21
64520,21
64521,21
64522,21
64523,21
64567,26
64625,811
64626,811
64627,811
64628,811
64629,811
64630,811
64631,811
64659,26
64918,25
64919,25
64988,811
64989,811
64990,811
64991,811
64992,811
64993,811
64994,811
64995,811
65619,64
65745,21
65752,21
66394,12
66405,12
66534,27
66535,27
66536,27
66537,27
66538,27
66539,27
66717,71
67121,12
67163,36
67232,21
67233,21
67235,21
67237,12
67412,25
67556,12
67557,12
67558,12
67660,66
67661,66
67673,12
67784,21
67793,21
68404,12
68531,21
68592,100
68600,100
68601,100
68820,109
68821,109
68909,314
69554,21
69555,21
69561,21
69563,21
69564,21
69723,88
69726,88
69727,88
69781,25
69822,21
69823,21
69824,21
69825,21
69826,21
69827,21
69828,21
69830,21
69833,21
69904,21
69947,25
69949,25
70206,21
70207,21
70208,21
70402,27
70403,26
70409,27
70654,21
70655,21
70657,21
70660,21
70768,21
70770,21
70772,21
70773,21
70774,21
70775,21
70813,439
71157,21
71158,21
71172,811
71173,811
71174,811
71175,811
71216,21
71225,21
71228,21
71230,21
71231,21
71240,21
71241,21
71242,21
71243,21
71244,21
71245,21
71246,21
71247,21
71248,21
71249,21
71250,21
71251,21
71252,21
71253,21
71254,21
71255,21
71276,25
71303,89
71304,89
71371,12
71372,12
71617,31
71620,31
71622,31
71690,21
71691,21
71692,21
71693,21
71694,21
71695,21
71711,25
71714,25
71715,25
71719,85
71721,25
71937,314
71938,314
72064,12
72129,21
72130,21
72131,21
72134,21
72135,21
72136,21
72234,21
72287,12
72288,12
72289,12
72290,12
72456,12
72468,21
72513,12
72738,66
72781,21
72782,21
72783,21
72784,21
72785,21
72786,21
72787,21
72788,21
72789,21
72790,21
73192,12
73193,12
73306,12
73309,12
73318,12
73486,25
73519,109
73520,109
73521,109
73522,109
73550,21
73551,21
74348,26
74669,58
74671,58
74706,66
74908,439
74954,21
74955,21
75211,89
75221,31
75230,12
75371,21
75372,21
75373,21
75374,21
75375,21
75376,21
75377,21
75378,21
75379,21
75380,21
75381,21
75383,21
75386,21
75389,21
75390,21
75391,21
75393,21
75395,21
75396,21
75398,21
75399,21
75401,21
75403,21
75412,539
75415,539
75417,539
75418,539
75419,539
75420,539
75425,539
75427,539
75428,539
75745,21
75746,21
75747,21
75748,21
75749,21
75750,21
75751,21
75752,21
75754,21
75755,21
75782,12
75783,12
75784,12
75785,12
75786,12
75787,12
75788,12
75903,12
75908,12
75925,21
75926,21
75927,21
75928,21
75929,21
75930,21
75931,21
75932,21
75933,21
75935,21
75936,21
75937,21
76121,12
77571,21
78156,21
78516,21
78833,21
78834,21
78839,21
78841,21
78843,21
78845,21
78847,21
78848,21
78849,21
78850,21
78851,21
78852,21
78984,21
78998,21
79575,12
79610,21
79616,21
80035,25
80293,21
82462,12
82464,12
82778,21
82780,21
83558,21
83715,21
83717,21
83718,21
83719,21
83789,101
83790,101
83791,101
83969,12
84111,21
84290,12
84291,12
84743,25
84757,26
84788,25
85027,88
85787,25
85788,25
85791,25
85792,25
85816,25
85817,25
86262,25
86263,25
86415,21
86416,21
86417,167
86419,167
86441,12
86443,12
86562,58
86678,21
86679,21
86680,21
86761,26
86762,26
86763,26
86788,31
86795,12
86799,66
86993,31
87121,12
87151,31
87152,31
87153,31
87154,31
87155,31
87361,58
87362,58
87363,58
87430,26
87431,26
87490,12
88899,27
88900,27
88959,66
88960,66
89178,100
89179,100
89192,100
89195,100
89196,100
89445,21
89447,21
89456,21
89473,21
89704,12
89841,21
89843,21
89846,21
89847,21
89848,21
89857,21
89859,21
89860,21
90639,66
90652,31
90695,25
90982,21
90987,21
90993,21
91092,12
91093,12
91205,12
91306,21
91309,21
91312,21
91315,21
91317,21
91318,21
91319,21
91329,12
91455,89
91458,89
91459,89
91851,88
91868,25
91869,25
92508,12
92868,12
93867,58
93868,58
93950,12
93956,12
93983,25
93985,25
93986,25
94026,25
94093,66
94099,66
94101,66
94102,66
94348,25
94419,12
94426,21
94449,21
94465,21
94467,21
94468,21
95231,25
95248,111
95249,111
95250,111
95251,111
95308,66
95309,66
95310,66
95506,85
